Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
-19.55,169.27,78.47,100.0,100.0,15.79
42.65,-73.75,17.53,73.0,90.0,3.6
14.9,-24.5,74.37,89.0,8.0,17.13
15.34,74.49,78.8,29.0,0.0,3.36
-53.16,-70.91,54.55,62.0,40.0,17.22
-42.48,-73.76,53.6,87.0,90.0,13.87
-34.72,135.86,67.17,92.0,92.0,15.79
-23.58,149.07,75.9,61.0,0.0,9.98
-23.12,-134.97,79.19,100.0,76.0,13.44
-46.19,168.86,41.21,86.0,0.0,2.71
22.08,-159.32,67.64,78.0,90.0,9.17
46.45,135.83,-5.82,53.0,32.0,6.4
-54.81,-68.31,50.0,87.0,75.0,20.8
19.71,-155.08,68.0,67.0,90.0,4.7
69.44,-133.03,-10.1,100.0,20.0,16.69
-5.2,-35.46,87.8,62.0,75.0,11.41
73.51,80.55,8.4,100.0,64.0,12.55
43.18,-2.47,52.41,66.0,20.0,3.36
-5.09,-81.11,62.6,290.0,75.0,16.11
-25.17,45.06,87.38,70.0,76.0,4.38
50.63,-96.99,13.67,96.0,12.0,26.87
45.36,-73.48,18.97,79.0,90.0,3.36
55.22,75.96,15.29,86.0,64.0,6.62
25.19,73.45,56.73,46.0,0.0,4.61
6.8,-58.16,81.41,78.0,75.0,11.41
77.48,-69.36,-32.24,100.0,0.0,8.63
-34.42,19.24,75.9,49.0,0.0,6.4
-20.41,57.7,84.2,66.0,40.0,11.41
36.07,-79.4,35.46,72.0,90.0,8.05
49.72,-86.95,8.6,78.0,90.0,9.17
-33.64,115.35,63.26,100.0,0.0,21.5
66.94,-53.67,-20.54,100.0,24.0,3.49
-0.92,100.36,78.8,88.0,75.0,2.24
30.12,55.12,54.17,43.0,56.0,12.88
13.22,-59.52,82.4,69.0,75.0,14.99
49.63,-102.27,26.6,79.0,90.0,20.8
26.33,43.97,66.2,48.0,75.0,12.75
39.95,-94.76,32.38,100.0,90.0,8.05
-51.62,-69.22,59.0,44.0,40.0,18.34
68.75,161.3,-31.02,53.0,36.0,3.71
62.23,-6.59,39.2,96.0,76.0,9.17
-35.17,173.16,64.38,97.0,92.0,16.02
37.17,-99.65,22.31,68.0,0.0,3.04
59.7,30.79,26.6,86.0,90.0,4.47
70.62,147.9,-38.85,83.0,24.0,8.3
-3.36,135.5,68.7,96.0,36.0,1.92
-33.93,18.42,73.4,56.0,20.0,24.16
-42.78,147.06,62.6,82.0,0.0,2.24
-9.8,-139.03,79.19,100.0,48.0,17.58
-13.71,-76.2,71.6,30.0,90.0,8.05
69.7,170.27,-12.57,100.0,88.0,16.02
50.2,-66.38,-0.41,77.0,75.0,6.93
-12.93,45.15,86.0,74.0,0.0,9.17
-34.53,20.04,77.0,50.0,0.0,14.99
61.69,27.27,24.8,100.0,90.0,3.36
66.5,25.72,14.0,92.0,90.0,6.93
-33.21,138.6,78.65,41.0,0.0,8.63
-43.53,172.64,51.8,87.0,0.0,2.24
60.79,-161.76,35.62,84.0,90.0,6.93
8.07,22.4,91.2,41.0,8.0,4.5
49.2,119.7,3.05,78.0,64.0,8.75
-7.95,110.28,74.82,96.0,92.0,6.06
13.72,123.58,76.49,88.0,0.0,14.12
63.59,-135.9,-0.41,77.0,90.0,2.24
71.97,114.09,-42.0,0.0,0.0,13.89
-26.98,-56.83,91.16,65.0,36.0,7.52
28.28,88.52,-12.53,44.0,0.0,4.61
50.65,-102.08,13.17,84.0,36.0,18.14
60.91,-46.05,32.0,92.0,75.0,12.75
60.72,-135.06,12.2,85.0,90.0,2.24
-20.63,-46.0,85.62,64.0,8.0,7.52
54.33,110.32,-21.3,53.0,0.0,1.81
40.08,-74.07,28.11,55.0,1.0,10.29
3.78,72.97,80.9,100.0,48.0,17.69
-33.59,26.89,75.32,78.0,0.0,9.75
39.45,22.34,45.28,20.0,20.0,13.87
38.18,-1.13,60.8,67.0,20.0,6.93
63.46,48.9,21.59,84.0,80.0,5.39
55.74,-97.86,-16.61,68.0,5.0,8.05
35.71,-79.81,37.33,92.0,90.0,6.62
-33.69,-53.46,70.5,100.0,92.0,5.06
9.56,44.06,73.4,53.0,0.0,19.46
-16.48,-151.75,83.73,100.0,80.0,12.55
-33.02,27.91,77.0,73.0,75.0,13.87
-5.11,-36.64,85.35,84.0,0.0,3.94
-2.57,150.8,83.69,100.0,44.0,10.76
-34.85,139.16,80.6,22.0,0.0,11.41
7.06,-3.97,96.56,40.0,0.0,3.38
25.52,90.21,51.2,78.0,0.0,1.81
28.22,61.21,52.68,72.0,44.0,6.06
38.52,-28.7,62.6,82.0,75.0,6.93
66.83,70.83,0.53,94.0,56.0,12.66
-37.83,140.78,64.4,88.0,90.0,10.29
69.38,178.42,-7.17,92.0,92.0,19.26
-34.67,150.86,71.6,100.0,0.0,3.6
